event time,asset,transaction time,ask,ask size,bid,bid size
1747689814751,ETHUSDC,1747689814774,2543.06,35.341,2013.27,0.000
1747689814779,BTCUSDT,1747689814779,105273.00,0.000,1000.00,64.028
1747689814773,1000PEPEUSDT,1747689814789,0.0132848,0,0.0131848,1212
1747689814761,BTCUSDC,1747689814790,,,84244.9,0.000
1747689814764,SOLUSDT,1747689814796,165.7000,510.10,165.2800,464.98
1747689814812,ETHUSDT,1747689814813,2515.91,0.000,2480.68,0.009
1747689814846,DOGEUSDT,1747689814852,0.223720,164830,0.178920,40
1747689814848,XRPUSDT,1747689814853,2.3775,9021.2,2.3480,2295.9
1747689814867,MOODENGUSDT,1747689814875,0.2467600,7142,0.2452500,150
1747689814878,BTCUSDT,1747689814880,105280.90,0.001,5000.00,0.756
1747689814878,1000PEPEUSDT,1747689814892,0.0132216,143442,0.0129401,1220975
1747689814879,BTCUSDC,1747689814894,105322.3,0.000,103726.4,0.974
1747689814879,SOLUSDT,1747689814899,165.7000,510.10,160.6400,21.52
1747689814907,ETHUSDT,1747689814916,2515.81,143.565,200.00,26.897
1747689814924,ETHUSDC,1747689814947,2517.49,2.634,2503.54,48.694
1747689814934,XRPUSDT,1747689814956,2.3753,5602.8,2.3658,10242.4
1747689814937,DOGEUSDT,1747689814956,0.224880,199613,0.178920,0
1747689814966,MOODENGUSDT,1747689814978,0.2467700,4312,0.2455900,0
1747689814981,BTCUSDT,1747689814982,105277.80,14.353,5000.00,0.736
1747689814983,1000PEPEUSDT,1747689814995,,,0.0132174,0
1747689814977,SOLUSDT,1747689815001,165.7200,204.17,164.8500,133.46
1747689815010,ETHUSDT,1747689815018,2516.12,0.036,200.00,26.897
1747689815045,BTCUSDC,1747689815053,105306.1,2.857,101516.7,0.000
1747689815048,XRPUSDT,1747689815059,2.3752,14051.5,2.2991,6621.2
1747689815034,ETHUSDC,1747689815078,2552.85,0.012,2481.35,13.363
1747689815072,MOODENGUSDT,1747689815081,0.2467700,6588,0.2464200,6325
1747689815081,BTCUSDT,1747689815083,105277.80,14.361,1000.00,64.028
1747689815088,1000PEPEUSDT,1747689815098,0.0132654,11687,0.0105758,662
1747689815106,SOLUSDT,1747689815109,165.7000,498.96,132.5600,1.41
1747689815113,DOGEUSDT,1747689815115,0.223700,77664,0.220280,58909
1747689815114,ETHUSDT,1747689815121,2515.87,0.000,2478.87,80.201
1747689815106,BTCUSDC,1747689815156,105333.7,0.000,101516.7,1.170
1747689815161,XRPUSDT,1747689815162,2.3752,14050.6,2.3395,25864.4
1747689815182,MOODENGUSDT,1747689815184,0.2467700,6588,0.2346600,21275
1747689815184,BTCUSDT,1747689815186,105277.80,14.366,5000.00,0.736
1747689815193,1000PEPEUSDT,1747689815200,0.0132198,201870,0.0105758,0
1747689815206,SOLUSDT,1747689815212,165.7200,425.14,132.5600,1.35
1747689815213,ETHUSDC,1747689815217,2551.82,130.389,2013.27,0.013
1747689815182,DOGEUSDT,1747689815218,0.223650,24235,0.208040,353
1747689815227,ETHUSDT,1747689815228,2515.83,0.000,200.00,26.897
1747689815256,XRPUSDT,1747689815263,2.3752,13784.7,2.1376,7894.0
1747689815249,BTCUSDC,1747689815281,105408.4,0.478,105267.9,0.118
1747689815282,MOODENGUSDT,1747689815285,0.2465000,3273,0.2420200,18846
1747689815281,BTCUSDT,1747689815288,105277.80,14.370,5000.00,0.736
1747689815315,SOLUSDT,1747689815318,165.7000,499.90,160.6400,21.52
1747689815307,1000PEPEUSDT,1747689815320,0.0132212,51569,0.0118977,0
1747689815306,DOGEUSDT,1747689815322,0.223650,24235,0.201280,94
1747689815332,ETHUSDT,1747689815332,2515.81,153.024,2264.22,0.839
1747689815331,ETHUSDC,1747689815332,2519.31,126.468,2013.27,0.000
1747689815362,XRPUSDT,1747689815387,2.3761,25585.4,2.1376,7898.4
1747689815385,MOODENGUSDT,1747689815388,0.2467700,6588,0.2455400,4162
1747689815386,BTCUSDT,1747689815389,105275.70,0.000,1000.00,64.028
1747689815381,BTCUSDC,1747689815391,105306.1,2.857,102409.3,0.005
1747689815423,DOGEUSDT,1747689815425,0.223660,31848,0.218710,410354
1747689815424,SOLUSDT,1747689815425,165.7000,499.55,162.3200,68.07
1747689815427,1000PEPEUSDT,1747689815428,0.0132198,302179,0.0125587,280125
1747689815426,ETHUSDT,1747689815433,2515.81,153.074,2478.82,54.043
1747689815420,ETHUSDC,1747689815434,2519.31,104.758,2334.32,38.170
1747689815470,MOODENGUSDT,1747689815489,0.2465000,3612,0.2390700,210
1747689815492,BTCUSDT,1747689815492,105277.80,14.376,5000.00,0.736
1747689815501,XRPUSDT,1747689815502,2.3753,5621.2,2.1376,7902.8
1747689815498,BTCUSDC,1747689815506,105306.1,2.875,101485.7,0.028
1747689815525,DOGEUSDT,1747689815528,0.223650,24325,0.218750,412342
1747689815511,1000PEPEUSDT,1747689815530,0.0132198,318406,0.0131910,380
1747689815534,ETHUSDT,1747689815535,2515.81,168.803,200.00,26.897
1747689815520,SOLUSDT,1747689815536,165.7000,500.68,160.6400,20.10
1747689815560,MOODENGUSDT,1747689815592,0.2467700,4312,0.2453800,18545
1747689815591,ETHUSDC,1747689815592,2516.59,47.401,2457.91,48.334
1747689815592,BTCUSDT,1747689815593,105277.80,14.298,1000.00,64.028
1747689815593,XRPUSDT,1747689815605,2.3752,13782.4,1.9001,4423.5
1747689815592,BTCUSDC,1747689815607,105322.5,0.065,101485.7,0.955
1747689815616,1000PEPEUSDT,1747689815633,0.0132208,43719,0.0131901,654537
1747689815627,ETHUSDT,1747689815636,2515.81,164.603,2012.65,0.000
1747689815625,SOLUSDT,1747689815638,165.8600,1236.53,132.5600,1.41
1747689815642,DOGEUSDT,1747689815643,0.223650,24325,0.222230,28144
1747689815693,BTCUSDT,1747689815695,105277.80,14.308,1000.00,64.028
1747689815655,MOODENGUSDT,1747689815695,0.2467700,4312,0.2163100,240
1747689815703,XRPUSDT,1747689815712,2.3775,8062.9,2.3276,12302.6
1747689815692,ETHUSDC,1747689815712,2518.81,0.104,2467.37,0.000
1747689815719,1000PEPEUSDT,1747689815736,0.0132211,16934,0.0132142,44287
1747689815737,ETHUSDT,1747689815738,2515.81,164.790,2264.22,0.020
1747689815733,SOLUSDT,1747689815745,165.7000,500.68,132.5600,1.35
1747689815734,BTCUSDC,1747689815750,106847.3,0.003,105193.9,0.543
1747689815759,DOGEUSDT,1747689815761,0.223650,24355,0.205750,51837
1747689815792,BTCUSDT,1747689815797,105277.80,14.375,5000.00,0.736
1747689815760,MOODENGUSDT,1747689815798,0.2467700,6588,0.2340100,31978
1747689815812,XRPUSDT,1747689815815,2.3792,44458.9,2.3563,122274.2
1747689815780,ETHUSDC,1747689815823,2519.31,105.114,2013.27,0.000
1747689815829,1000PEPEUSDT,1747689815839,0.0132211,16934,0.0131814,244077
1747689815838,ETHUSDT,1747689815843,2515.81,164.790,200.00,26.897
1747689815815,SOLUSDT,1747689815847,165.7000,500.68,161.9500,508.53
1747689815832,DOGEUSDT,1747689815866,0.226560,16320,0.178920,40
1747689815898,BTCUSDT,1747689815899,105277.80,14.306,1000.00,64.028
1747689815879,MOODENGUSDT,1747689815901,0.2467700,6588,0.2340700,2967
1747689815911,XRPUSDT,1747689815922,2.3752,14954.2,2.2823,6081.6
1747689815934,1000PEPEUSDT,1747689815941,0.0132211,16934,0.0105758,0
1747689815928,BTCUSDC,1747689815942,106780.4,1.122,84244.9,0.000
1747689815941,ETHUSDT,1747689815954,2515.81,164.869,199.99,0.000
1747689815941,ETHUSDC,1747689815962,2518.17,2.991,2506.54,0.864
1747689815963,SOLUSDT,1747689815964,165.7000,498.90,160.6400,20.10
1747689815960,DOGEUSDT,1747689815969,0.224230,160039,0.178920,0
1747689816000,BTCUSDT,1747689816001,105277.80,14.298,1000.00,64.028
1747689815976,MOODENGUSDT,1747689816004,0.2467700,6588,0.2448000,5943
1747689816019,XRPUSDT,1747689816024,2.3752,15181.7,2.3426,18423.3
1747689816040,1000PEPEUSDT,1747689816044,0.0132191,856418,0.0131464,1006901
1747689816055,ETHUSDT,1747689816055,2515.81,165.544,200.00,26.897
1747689816045,ETHUSDC,1747689816063,2516.59,47.718,2498.45,1.981
1747689816055,SOLUSDT,1747689816067,165.7100,247.99,160.7300,27.21
1747689816075,DOGEUSDT,1747689816088,0.223650,24496,0.222480,119729
1747689816101,BTCUSDT,1747689816102,105277.80,14.368,5000.00,0.736
1747689816098,MOODENGUSDT,1747689816108,0.2465000,3708,0.2338000,10948
1747689816112,BTCUSDC,1747689816112,105342.9,0.310,105199.1,1.325
1747689816121,XRPUSDT,1747689816127,2.3755,14756.0,1.9001,4423.5
1747689816145,1000PEPEUSDT,1747689816146,0.0132191,854249,0.0131280,380745
1747689816154,ETHUSDT,1747689816156,2515.85,0.515,200.00,26.897
1747689816151,ETHUSDC,1747689816167,2516.59,48.115,2336.02,0.000
1747689816168,SOLUSDT,1747689816170,165.7000,500.83,132.5600,1.41
1747689816181,DOGEUSDT,1747689816191,0.223710,122471,0.222410,252663
1747689816203,BTCUSDT,1747689816203,105277.80,14.637,1000.00,64.028
1747689816208,MOODENGUSDT,1747689816210,0.2465000,3375,0.2340500,37
1747689816208,BTCUSDC,1747689816216,105306.1,2.857,105249.3,0.000
1747689816226,XRPUSDT,1747689816231,2.3755,17761.0,2.1376,8774.0
1747689816247,1000PEPEUSDT,1747689816249,0.0132201,0,0.0118971,0
1747689816255,ETHUSDT,1747689816258,2515.81,165.841,2264.22,0.020
1747689816264,ETHUSDC,1747689816268,2516.59,47.798,2336.02,59.332
1747689816264,SOLUSDT,1747689816272,165.7000,501.07,132.5600,1.35
1747689816273,DOGEUSDT,1747689816293,0.223650,24465,0.201280,94
